"","gene","Granulocytes 1","Granulocytes 2","Granulocytes 3","Granulocytes 4","Granulocytes 5","Granulocytes 6","Granulocytes 7","C7","Granulocytes 8"
"1383","Galk2",0.000800755828128146,0.0252746533587278,0.0412850739357413,0,0,0.0117585569377248,0,0.0867533784046664,0.024893935946328
"1384","Dtwd1",0.00142667527442561,0.00720127388836966,0.0769359676832782,0.00922667127402271,0.011848841505786,0.00764412833960223,0.0109284476420953,0.0961342056729969,0
"1385","Atp8b4",0.325767558456692,0.405923725460554,0.254906413695511,0.345645010565368,0.343630920612813,0.364827364566204,0.499774642255756,0.339857074591565,0.243023975382188
"1386","Hdc",2.78027498238206,1.21398448684268,0.73491647593143,1.86117892547787,0.974686465621586,0.517278357985884,2.31281439897365,0.621999720653789,1.48471230943882
"1387","Gabpb1",0.238302096271821,0.197692813134602,0.280904974634433,0.211013825447593,0.179410320289511,0.292686011330949,0.329547911011411,0.192891722605494,0.207256064002246
"1388","Gm27003",0.0204638629596685,0.0325250582895887,0.0429868294940642,0.0232438595918384,0.0449754338835346,0.0543088540960973,0.0124867265428782,0.0266638850321579,0.00679823825241067
"1389","Usp8",0.329151687529957,0.311414953747342,0.314880160406794,0.306283156579735,0.284170857955485,0.258240388749006,0.378080138738238,0.387648753934969,0.201952677840902
"1390","Usp50",0.0319024480415844,0.0329134771080862,0.184877719000265,0.0659322810701512,0.0725757158519343,0.166486682485535,0.148853857027403,0.0400913632745503,0
"1391","Trpm7",0.252032610952445,0.604997587739248,0.550240283025958,0.495883125839725,0.488453335283457,0.876108855313824,0.696282959145625,0.265725398770371,0.414317646162278
"1392","Sppl2a",0.478895518728939,0.563812447974478,0.751110706632636,0.419218537307318,0.59266929517728,0.632375442086277,1.16948946706066,0.795235319662138,0.340315866327314
"1393","Ap4e1",0.0248530605951798,0.0660144354169936,0.0394942816304453,0.0455525409630294,0.064721864042264,0.0363913410487242,0.0322559938098008,0.0432790941077689,0.030906002152337
"1394","Blvra",0.023784090190868,0.0459560412150244,0.1743865754826,0.0792841492094181,0.0435674230701131,0.243804953404451,0.108359187610749,0.23049954487079,0.00674925789516617
"1395","Itpripl1",0.00955724837664899,0.012200087715013,0.0187939373565341,0.0107926430310078,0.0195526966002606,0.0188783285609208,0.02617573985652,0.0960445071830709,0
"1396","1810024B03Rik",0.00870876993379506,0.0236201090304556,0.148851948726579,0.0277823080802405,0.0823763019234539,0.0840025702251182,0.0256478434156037,0.0482815858284714,0.00674925789516617
"1397","Snrnp200",0.166679571610632,0.236762788203876,0.513646998592416,0.157512261976125,0.210658209673189,0.293377344424905,0.294877233015612,0.266421135412536,0.175931440066616
"1398","Ciao1",0.0504290849957153,0.0449324789626464,0.216099552531853,0.0508403102331704,0.0863374354559242,0.1431498919515,0.0884612956468888,0.0607648957030342,0.0299895028532887
"1399","Tmem127",0.175364180476887,0.286139111736603,0.418814538067737,0.15891351897984,0.263643742319242,0.371510928105363,0.348804662822,0.212207724069162,0.165193649566816
"1400","Stard7",0.041766975656141,0.0117291602085782,0.0930179662192218,0.0102814837394287,0.0174565787380416,0.0331635791151522,0.154574678588277,0.13485613595585,0.031969477157251
"1401","Dusp2",0.0473505293335202,0.0410080973585859,0.144176563115944,0.237361040147908,0.037417565665926,0.102855204315341,0.14940627974481,0.201166597394594,0.0835766096982146
"1402","Fahd2a",0.000568928422760513,0.00160897145513484,0.0149585267047442,0,0.00467737545061875,0,0,0.0244014125496666,0
"1403","Mrps5",0.00187637226788384,0.0134203440814435,0.147061943643141,0.0049554853993348,0.0304540002462829,0.0155734217210986,0.0318450372875477,0.102829919300452,0
"1404","Mtln",0.00137705068016981,0.0147601237914067,0.131980810856885,0.00652265128229998,0.0431830710802418,0.0239380831631663,0.0325447300199711,0.317358376668169,0.0199544971070178
"1405","Bub1",0.0051601427632188,0.00762233307749599,0.00375914854483357,0.00292592853314278,0,0.0181228365942763,0,0,0
"1406","Acoxl",0.0351662746105717,0.0690625673439128,0.0726698309299215,0.0749050236832673,0.0864439699195205,0.125443712124591,0.0285149131559484,0.0194023764665943,0.0113547262873586
"1407","Bcl2l11",1.57833188903145,1.88536267400407,1.54458417739785,2.03693071620273,1.83167228290463,2.00808454625342,1.62241240763796,0.760175396944809,1.69856387864148
"1408","Morrbid",0.648224343567802,0.86092105726958,0.759248833268103,0.934893043172895,0.942786311851085,1.10880217958555,0.86202912327588,0.478471801088951,0.697596540574191
