"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Dbt.1",1.77690884492222e-08,-0.266497980130815,0.034,0.109,0.000297721076966718,"Microglia 2","Dbt"
"Dhx36.1",1.80243369734642e-08,-0.247833344842907,0.167,0.299,0.000301997765990392,"Microglia 2","Dhx36"
"Lactb",1.81245344318342e-08,-0.350822463453197,0.211,0.352,0.000303676574405381,"Microglia 2","Lactb"
"Ptpn6.1",1.81952681026537e-08,-0.344629945786533,0.385,0.535,0.000304861717059963,"Microglia 2","Ptpn6"
"Zfp592.1",1.82416770363138e-08,-0.234895219421263,0.033,0.116,0.000305639298743438,"Microglia 2","Zfp592"
"Ranbp9.1",1.82881576944405e-08,-0.26507648053373,0.059,0.159,0.00030641808217035,"Microglia 2","Ranbp9"
"Braf.1",1.85361413922675e-08,-0.271844207389228,0.048,0.136,0.000310573049027441,"Microglia 2","Braf"
"Arvcf.1",1.86179749508005e-08,-0.193667485436506,0.01,0.071,0.000311944170300662,"Microglia 2","Arvcf"
"Mtf2.1",1.86397828285317e-08,-0.258728427015363,0.054,0.15,0.000312309561292048,"Microglia 2","Mtf2"
"Gm9484.1",1.87683741204636e-08,-0.15754967218251,0.002,0.05,0.000314464108388367,"Microglia 2","Gm9484"
"B3gnt2.1",1.8794472617004e-08,-0.327660316861709,0.138,0.266,0.000314901388697902,"Microglia 2","B3gnt2"
"Ptprs.1",1.89377854132455e-08,-0.280406668319145,0.046,0.137,0.000317302594598929,"Microglia 2","Ptprs"
"Cntrl.1",1.90091686205125e-08,-0.276590343736746,0.063,0.165,0.000318498620236687,"Microglia 2","Cntrl"
"Lipe.1",1.90145037574103e-08,-0.24395099833708,0.034,0.117,0.000318588010455409,"Microglia 2","Lipe"
"mt-Nd4l",1.90512978377765e-08,0.235069039402431,0.575,0.632,0.000319204495271946,"Microglia 2","mt-Nd4l"
"Rcor3.1",1.91943423102816e-08,-0.206792860877235,0.013,0.079,0.000321601205408769,"Microglia 2","Rcor3"
"Sra1",1.92806228718554e-08,0.376818069257658,0.339,0.239,0.000323046836217938,"Microglia 2","Sra1"
"Dhfr.1",1.94778904149854e-08,0.211865205093957,0.08,0.019,0.000326352053903081,"Microglia 2","Dhfr"
"Tax1bp1.1",1.96504632666831e-08,-0.29244643194245,0.299,0.453,0.000329243512033275,"Microglia 2","Tax1bp1"
"Ptar1.1",1.97156216374852e-08,-0.198425023434892,0.017,0.078,0.000330335240536064,"Microglia 2","Ptar1"
"Plpp6",1.9725881319744e-08,-0.19423822512189,0.015,0.079,0.00033050714151231,"Microglia 2","Plpp6"
"Psen1.1",2.00158599886568e-08,-0.295160851148867,0.107,0.21,0.000335365734109945,"Microglia 2","Psen1"
"Nfx1.1",2.00669448727775e-08,-0.235197573632204,0.059,0.158,0.000336221661343388,"Microglia 2","Nfx1"
"Oip5.1",2.02376124454362e-08,0.101663392552861,0.036,0.001,0.000339081196523283,"Microglia 2","Oip5"
"Samhd1",2.03665130291823e-08,-0.31762114464364,0.148,0.278,0.000341240925803949,"Microglia 2","Samhd1"
"Nhsl2.1",2.06648453018723e-08,-0.167271654217352,0.006,0.06,0.00034623948303287,"Microglia 2","Nhsl2"
"Timm50.1",2.11684559355539e-08,0.351037324194419,0.236,0.129,0.000354677479200205,"Microglia 2","Timm50"
"Zfp839.1",2.12701180148864e-08,-0.210626097265155,0.017,0.086,0.000356380827339422,"Microglia 2","Zfp839"
"Txlna.1",2.15149297876618e-08,-0.29400405059179,0.096,0.207,0.000360482648592274,"Microglia 2","Txlna"
"Rab3ip.1",2.1827366575862e-08,-0.252582845593306,0.046,0.126,0.000365717526978568,"Microglia 2","Rab3ip"
"Cct3.1",2.18469247174988e-08,0.416725350611794,0.372,0.252,0.000366045223641693,"Microglia 2","Cct3"
"Kif20a.1",2.19939787647448e-08,0.104732379117303,0.046,0.004,0.000368509114203299,"Microglia 2","Kif20a"
"AW112010.1",2.20683772551766e-08,0.400701098261481,0.28,0.222,0.000369755660910484,"Microglia 2","AW112010"
"Dcaf5.1",2.21001675949729e-08,-0.150753867021574,0.017,0.079,0.000370288308053771,"Microglia 2","Dcaf5"
"Lrp6.1",2.21739411341232e-08,-0.291605546432399,0.086,0.196,0.000371524383702235,"Microglia 2","Lrp6"
"Zfyve26",2.22950241729501e-08,-0.232907062644676,0.033,0.114,0.00037355313001778,"Microglia 2","Zfyve26"
"Fip1l1.1",2.23037950809942e-08,-0.262170404954504,0.119,0.241,0.000373700086582057,"Microglia 2","Fip1l1"
"Smg7.1",2.24104405891686e-08,-0.219336377640984,0.031,0.112,0.00037548693207152,"Microglia 2","Smg7"
"Foxo3.1",2.26063289907723e-08,-0.232447555623056,0.033,0.111,0.000378769042240391,"Microglia 2","Foxo3"
"Orc6.1",2.28654842719203e-08,0.284524431723346,0.128,0.048,0.000383111188976024,"Microglia 2","Orc6"
"Ctcf.1",2.29781397688666e-08,-0.351570138923051,0.174,0.303,0.00038499873182736,"Microglia 2","Ctcf"
"Rubcnl.1",2.38079181525099e-08,-0.248294003054784,0.038,0.123,0.000398901668645303,"Microglia 2","Rubcnl"
"Slc10a7.1",2.3962742610888e-08,-0.245790433912749,0.033,0.109,0.000401495752445429,"Microglia 2","Slc10a7"
"Zfp169",2.39682215284284e-08,-0.113411787348611,0,0.037,0.000401587551708818,"Microglia 2","Zfp169"
"Gm3739.1",2.39682215284354e-08,-0.110443200412053,0,0.037,0.000401587551708935,"Microglia 2","Gm3739"
