"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mrps7",0.0617481667645427,0.0865255611900815,0.083,0.049,1
"Sphk1",0.0107195784375847,0.0865138077491153,0.012,0,1
"Siglech",0.0621821441933327,0.0865043023277254,0.032,0.013,1
"Rnpc3",0.00681869232061563,0.0864886116403631,0.074,0.036,1
"Dvl3",0.236968881594671,0.0863799131092537,0.041,0.036,1
"Uba6",0.126317702806662,0.0863549827905249,0.048,0.023,1
"Plet1",0.0342686431318077,0.086340399397516,0.009,0,1
"Rpn2",0.117254283631985,0.0863394882481729,0.101,0.067,1
"Gcn1",0.465021039010153,0.086322507478905,0.039,0.026,1
"Ttc32",0.0825068628490769,0.0863015110215288,0.138,0.098,1
"Tgm2",0.00146088188612822,0.0862967621355677,0.325,0.237,1
"Srp68",0.14618296918079,0.0862342666547466,0.035,0.015,1
"Nifk",0.00233399803368126,0.0862028148427354,0.063,0.028,1
"Nup88",0.362019972002237,0.0861614550205415,0.055,0.036,1
"Cwc15",0.163124098026464,0.0861340638694396,0.268,0.219,1
"9530068E07Rik",0.358860566285819,0.0860698416701657,0.15,0.136,1
"Psmd9",0.0641341663059637,0.0860584308608176,0.063,0.033,1
"Eipr1",0.112939429655049,0.0858262295143183,0.041,0.018,1
"Slc39a6",0.110951685574569,0.085751214698312,0.034,0.013,1
"3110040N11Rik",0.0553755589116235,0.0857419539433246,0.023,0.005,1
"Lig3",0.214398973417593,0.0855090981737426,0.044,0.028,1
"Rfc2",0.205149484817088,0.0854748301062104,0.108,0.075,1
"Thoc6",0.0395570343511796,0.0854232516874256,0.03,0.008,1
"Ormdl1",0.0147063498638143,0.0853955679079405,0.095,0.054,1
"Apopt1",0.110723658483656,0.085387027094579,0.041,0.018,1
"Ceacam16",0.0656552596506538,0.0851831598400455,0.023,0.005,1
"Rbm19",0.0148432971899448,0.0849814067952917,0.023,0.003,1
"Vmn2r97",0.0060483252781243,0.0846742727270359,0.014,0,1
"Adap1",0.247218530060067,0.0846701642163195,0.053,0.031,1
"Mmp14",0.0384769661943298,0.0846023712327682,0.025,0.005,1
"2610037D02Rik",0.136695026704059,0.0845912688659326,0.025,0.01,1
"Kars",0.211025711205791,0.0845623859230766,0.044,0.023,1
"Col15a1",0.23999192047554,0.0845131944806277,0.025,0.01,1
"Wdr61",0.0697971504545641,0.0844997507485631,0.104,0.064,1
"Zmym5",0.265452515126509,0.0844593273002133,0.088,0.062,1
"Naa15",0.0249821177146934,0.0844399596057618,0.088,0.051,1
"Gmeb1",0.456969543540496,0.0844374852958036,0.074,0.054,1
"Axdnd1",0.0681192595090032,0.0843850722208658,0.016,0.003,1
"Pik3cb",0.275136331514499,0.0843058214755383,0.095,0.067,1
"H2-M3",0.252690092232174,0.0842679419630193,0.042,0.023,1
"Ldah",0.206880492139192,0.0842567439266054,0.092,0.064,1
"Ppm1g",0.459030979769704,0.0841729889391415,0.123,0.098,1
"Mesd",0.051634999944193,0.0841095425089818,0.034,0.01,1
"Sympk",0.495179687252321,0.0840203610980416,0.062,0.054,1
"Mrpl22",0.0361131224495523,0.0838525524418365,0.079,0.046,1
"Ccdc51",0.00342618671904373,0.0838307375640575,0.016,0,1
"Map2k2",0.0963216793871024,0.0838287385339769,0.22,0.172,1
"Mtm1",0.362736167337867,0.0838194493271862,0.095,0.069,1
"Nop58",0.00498613644666534,0.0837905762752401,0.044,0.015,1
"Fxr2",0.49092159214038,0.0836751706435802,0.081,0.067,1
"Gstm4",0.00110879628577488,0.0836666107713545,0.019,0,1
"Bcl2l1",0.638074753413522,0.083534762963041,0.138,0.126,1
"Ddx10",0.0431235669599993,0.0834813956801131,0.037,0.013,1
"Hif1an",0.000604335435546885,0.0834576839443251,0.058,0.021,1
"Cdyl",0.311960731931666,0.0834004192891862,0.06,0.039,1
"Cep162",0.0670672919776926,0.0833914490952314,0.026,0.008,1
"Ebp",0.522438740079561,0.0833832197714658,0.146,0.123,1
"Mgarp",0.0409132916254099,0.0833480759822832,0.019,0.003,1
"Pdzd11",0.151477585302985,0.0833370204877545,0.058,0.049,1
"Mrgpra2a",0.0862162733561326,0.0833285261395403,0.078,0.08,1
"Zfp24",0.406671008442971,0.0833205199864014,0.063,0.044,1
"1110065P20Rik",0.0641567171986923,0.0833028760925901,0.169,0.126,1
"Tssc4",0.203214331470309,0.0832752262425249,0.055,0.031,1
"Ppil3",0.035324704457288,0.0831777278411199,0.044,0.018,1
"Laptm4b",0.0415782382387749,0.0830943564742481,0.03,0.008,1
"Sap30",0.664258088586112,0.083088712607164,0.136,0.126,1
"Mrpl58",0.128905582998473,0.082982417015577,0.058,0.031,1
"Mrps16",0.331915728049519,0.0829747039812565,0.178,0.144,1
"Nap1l4",0.032522990714341,0.0826831937598697,0.203,0.149,1
"Disp1",0.246777218279482,0.082572259392242,0.025,0.01,1
"Ap5z1",0.222554826438492,0.0824817909987341,0.021,0.008,1
"Plekhm1",0.530636882481488,0.082426222616157,0.085,0.067,1
"Gnas",0.535557862983551,0.0824188059701436,0.407,0.393,1
"Mrto4",0.154117466374346,0.0824180354167843,0.104,0.072,1
"Nol6",0.123209509045243,0.08221212139456,0.014,0.003,1
"Cox8a",0.0574966410767303,0.082157859819223,0.912,0.92,1
"Chic2",0.346576482023509,0.0821560827300465,0.3,0.257,1
"Jdp2",0.0110422132327944,0.0821060518956591,0.287,0.216,1
"Slc39a4",0.209547537087021,0.0821039656246161,0.048,0.026,1
"Gm12940",0.398178869883033,0.0818597163518058,0.016,0.008,1
"Emc10",0.00518425091461783,0.0817801721723373,0.099,0.057,1
"Ahcyl2",0.0865755273260765,0.0817240087920488,0.072,0.041,1
"Gm47079",0.215738107316396,0.0816965441427258,0.004,0,1
"Atp5h",0.680729274939057,0.0816536760887852,0.598,0.599,1
"Rbbp7",0.00389454083343181,0.0816471916658297,0.071,0.033,1
"Lyrm1",0.426857946656879,0.0815712216533424,0.06,0.041,1
"Zmynd8",0.171921989581984,0.0815555255741721,0.042,0.028,1
"Itga5",0.0116372855840868,0.0814616315593594,0.102,0.067,1
"Pcmtd1",0.408913277609104,0.0814225091645326,0.169,0.141,1
"Naxe",0.314630413716306,0.0814123647346298,0.076,0.051,1
"Ccdc88c",0.0161496997548653,0.0813252844819461,0.055,0.057,1
"Cerk",0.167599136180543,0.081280563450164,0.041,0.036,1
"Luc7l3",0.269742667315482,0.0812041444527529,0.138,0.103,1
"Ilf2",0.000993347463415905,0.0811724453671347,0.081,0.041,1
"Ppfia3",0.026103659179051,0.0811383290962842,0.018,0.003,1
"Lsm2",0.0564969758862583,0.0811348466318308,0.129,0.093,1
"Mef2a",0.294413011350772,0.081049933458808,0.363,0.321,1
"Tnpo2",0.120055425037684,0.0810380167747346,0.025,0.008,1
"Nop53",0.634963098292607,0.0808558632223869,0.099,0.085,1
"Abcf1",0.0586322660808796,0.0808245447356548,0.145,0.1,1
"Ocel1",0.158461180665392,0.080806895951184,0.086,0.057,1
"Phf5a",0.00375369067199114,0.080773082527599,0.21,0.152,1
"Bin1",0.157997154910177,0.0807606196479346,0.034,0.028,1
"Eapp",0.346647079579164,0.0807564434339936,0.388,0.342,1
"Gm26535",0.0107195784375859,0.0806641106091347,0.012,0,1
"Natd1",0.0966126430335766,0.0806602860722378,0.016,0.003,1
"Rab15",0.00604832527812353,0.080514573079046,0.014,0,1
"Thyn1",0.0266319409097394,0.0803577788729454,0.035,0.01,1
"Ep400",0.6751617232147,0.0803148048549897,0.109,0.095,1
"Exosc1",0.0012053936473364,0.0802962905258079,0.067,0.031,1
"Gss",0.214877045085344,0.0802032588864527,0.032,0.015,1
"Nop14",0.0418222822859556,0.0801313122209264,0.039,0.015,1
"Klhl11",0.00604832527812427,0.0801237863593753,0.014,0,1
"Pdha1",0.366171531319247,0.0800585470504719,0.071,0.049,1
"Gps2",0.195973470889612,0.0800099659988635,0.162,0.121,1
"Ints14",0.00194676198539913,0.0799729781991334,0.018,0,1
"Anapc10",0.0795331000355515,0.0799633496328057,0.074,0.044,1
"Sac3d1",0.0640915001918257,0.0798604888692716,0.023,0.005,1
"Taf6l",0.00653903868427777,0.0798414952519481,0.026,0.003,1
"D930028M14Rik",0.00342618671904387,0.0797974475853511,0.016,0,1
"Hmgcs1",0.299509377865706,0.0797703598079887,0.051,0.031,1
"Fbxw11",0.34280674458268,0.0797076233378378,0.072,0.051,1
"Phldb2",0.0190981889783207,0.0796699999032144,0.011,0,1
"Zmiz1os1",0.0395802998812125,0.079647728723588,0.019,0.003,1
"C1galt1c1",0.0268706135267873,0.0796436885946808,0.069,0.036,1
"Gm14966",0.0474616177771343,0.0795788868514943,0.018,0.003,1
"Gpr34",0.400682193619337,0.0795106691394832,0.034,0.021,1
"Zwint",0.209793625772841,0.079448190677181,0.041,0.021,1
"Tbl2",0.585944962118615,0.0794403451408392,0.023,0.015,1
"Gab2",0.231452016440252,0.0793243729145496,0.086,0.062,1
"Zmym6",0.0797720793022877,0.0792254973804787,0.03,0.01,1
"Arnt",0.268549307281701,0.0791473556865502,0.106,0.077,1
"Tapt1",0.34013491559759,0.0791307427055584,0.049,0.031,1
"Tgtp2",0.138678100485862,0.0791268563893408,0.019,0.005,1
"BC028528",0.10078920094201,0.079126270229335,0.046,0.023,1
"Papolg",0.329557230917994,0.079101041517023,0.034,0.018,1
"Nipa2",0.477264313524756,0.0790966660281484,0.136,0.111,1
"Gm13580",0.0107195784375829,0.0790291229220786,0.012,0,1
