"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Scnn1a",0.556942238442486,-0.00805535824376328,0.002,0.005,1
"6030443J06Rik",0.590783760818763,-0.00809263514519888,0.002,0.005,1
"Zfp759",0.292551822388988,-0.00809279977230082,0.012,0.011,1
"Pepd",0.35912835883025,-0.00809930987405827,0.264,0.25,1
"Wasf1",0.119927207576887,-0.00810063372608168,0,0.003,1
"Rnft2",0.11992720757687,-0.008109436768576,0,0.003,1
"Gm37986",0.478496691796135,-0.00811263130336582,0.001,0.003,1
"Mns1",0.885277045528937,-0.00813033189537242,0.009,0.011,1
"Ly6c1",0.911673153769607,-0.00813072908676092,0.001,0.001,1
"Nrap",0.846613921059866,-0.0081363548742299,0.008,0.011,1
"Gnb4",0.478496691795954,-0.00815279730271712,0.001,0.003,1
"Gm45311",0.119927207576873,-0.00815481516546204,0,0.003,1
"Gm45464",0.642876295740697,-0.00815497816643857,0.005,0.008,1
"Prim1",0.787597083351324,-0.00815610141911721,0.035,0.034,1
"Gm36445",0.699715505699409,-0.00815902697270537,0.003,0.004,1
"B630019A10Rik",0.0487225925019485,-0.0081593427037065,0,0.004,1
"Gm21860",0.496156783673687,-0.00816011245219387,0.012,0.016,1
"Tshz1",0.258800713225647,-0.00816222320450524,0.047,0.041,1
"Anxa2",0.516930658180075,-0.00816372003502575,0.097,0.112,1
"Higd1a",0.0966311912627197,-0.00816976586211882,0.336,0.312,1
"Nudt18",0.303481124451471,-0.00817815558438478,0.073,0.064,1
"Pcdh17",0.313453171243439,-0.0081812528950567,0,0.001,1
"Hist1h3g",0.811343740180189,-0.00818906639011832,0.003,0.005,1
"Uqcrc1",0.11862218456474,-0.0081891926566019,0.288,0.269,1
"Gm47512",0.592035515622983,-0.00820927697296371,0.002,0.005,1
"Rbm10",0.339477202344526,-0.00822016531237516,0.058,0.052,1
"B3glct",0.289427191319327,-0.00822459618692895,0.063,0.057,1
"Gm20644",0.119927207576883,-0.00823677794154832,0,0.003,1
"Gm10143",0.119927207576894,-0.00823720120737371,0,0.003,1
"Npy",0.911673153771499,-0.00824482477214502,0.001,0.001,1
"Tpbgl",0.31811778495793,-0.00824564311466203,0.164,0.15,1
"Tatdn2",0.97431990394217,-0.0082636578999464,0.057,0.057,1
"Cabp4",0.883849365568609,-0.00828453399742938,0.002,0.003,1
"Prr11",0.850307088965372,-0.00828887321484541,0.017,0.016,1
"Zgpat",0.662625054135283,-0.00829618759708056,0.053,0.055,1
"Akap13",0.0121821050100378,-0.0083372255759242,0.636,0.594,1
"Fam185a",0.575966397021398,-0.00833964258182025,0.019,0.018,1
"Lpar5",0.657797838475452,-0.00835511585502168,0.005,0.008,1
"Ramp3",0.0487225925019364,-0.00836960951774539,0,0.004,1
"Rasgrp1",0.313453171243527,-0.00837746459305625,0,0.001,1
"Snap47",0.376364803652499,-0.00838818012198883,0.062,0.056,1
"Gramd1c",0.119927207576882,-0.00839634648589052,0,0.003,1
"Nim1k",0.8432765517524,-0.00840256967566041,0.008,0.01,1
"Gm48882",0.733896661202657,-0.00840486299111964,0.016,0.016,1
"Rhov",0.245996038297452,-0.00842251260228709,0.001,0.005,1
"Styxl1",0.119927207576892,-0.00842984750896399,0,0.003,1
"Hist1h4f",0.911673153771893,-0.00844674826720062,0.001,0.001,1
"Slc9a3r2",0.715215003367308,-0.00845359584337678,0.005,0.005,1
"Gstp1",0.952541103683447,-0.008454629470415,0.069,0.073,1
"Gan",0.853781776661743,-0.00847197130951065,0.03,0.03,1
"Pfas",0.653613701398873,-0.00847201229482378,0.033,0.033,1
"Faah",0.313453171243519,-0.00847823198095442,0,0.001,1
"Gata3",0.313453171243519,-0.00847823198095442,0,0.001,1
"Axin2",0.506425646358058,-0.00847839108755594,0.001,0.004,1
"Mansc1",0.478496691796023,-0.00848798441663573,0.001,0.003,1
