"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"4930453N24Rik.2",3.64788303896059e-10,0.208938974153454,0.093,0.042,5.03736168850068e-06,"Granulocytes 3","4930453N24Rik"
"Zdhhc3.2",3.67146776685761e-10,0.237880881754312,0.105,0.054,5.06992983925367e-06,"Granulocytes 3","Zdhhc3"
"Birc6.2",3.70936727663011e-10,0.287013898314011,0.24,0.158,5.12226527229852e-06,"Granulocytes 3","Birc6"
"Gemin6.2",3.72822433550277e-10,0.0941079693246973,0.023,0.002,5.14830498489577e-06,"Granulocytes 3","Gemin6"
"Bola3.2",3.76538410756401e-10,0.196229510751486,0.051,0.017,5.19961891413514e-06,"Granulocytes 3","Bola3"
"Ddx23.2",3.76638509995228e-10,0.235406463800651,0.135,0.066,5.20100118452411e-06,"Granulocytes 3","Ddx23"
"Fermt3.2",3.78873695465025e-10,0.278149516882072,0.207,0.139,5.23186686067653e-06,"Granulocytes 3","Fermt3"
"A530032D15Rik.2",3.81097204236086e-10,-0.22712281394784,0.02,0.074,5.26257129329611e-06,"Granulocytes 3","A530032D15Rik"
"Tgif1.2",3.83600562271069e-10,-0.443145499571556,0.367,0.486,5.29714016440119e-06,"Granulocytes 3","Tgif1"
"Dars.1",3.91173663139754e-10,0.198731396806542,0.072,0.032,5.40171711429686e-06,"Granulocytes 3","Dars"
"Pot1b.1",3.91938709256675e-10,0.107435549724294,0.032,0.004,5.41228163612542e-06,"Granulocytes 3","Pot1b"
