"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ccnt2",5.25028733292113e-09,-0.181004984971611,0.189,0.117,8.79685642630936e-05,"Mono/Mac 1","Ccnt2"
"S100pbp",5.30574391212273e-09,-0.14530449789551,0.05,0.023,8.88977392476163e-05,"Mono/Mac 1","S100pbp"
"Mcrs1",5.31451866011351e-09,-0.161649103083188,0.199,0.105,8.90447601502019e-05,"Mono/Mac 1","Mcrs1"
"Stard3nl",5.31481999124612e-09,-0.315583842809183,0.311,0.216,8.90498089533288e-05,"Mono/Mac 1","Stard3nl"
"Usp7",5.3274195360839e-09,-0.318993723625002,0.274,0.199,8.92609143270857e-05,"Mono/Mac 1","Usp7"
"Ak2",5.33038624174298e-09,0.0367884769880571,0.339,0.17,8.93106214804036e-05,"Mono/Mac 1","Ak2"
"Ckap4",5.34636678899591e-09,0.323032342835326,0.242,0.058,8.95783755496264e-05,"Mono/Mac 1","Ckap4"
"Dennd5a",5.34952105497338e-09,0.0958017219252481,0.284,0.14,8.9631225276079e-05,"Mono/Mac 1","Dennd5a"
"Hprt",5.39874809070662e-09,-0.143351494792627,0.491,0.322,9.04560242597894e-05,"Mono/Mac 1","Hprt"
"Cdk9",5.40135966900573e-09,0.162577098244801,0.411,0.216,9.04997812541909e-05,"Mono/Mac 1","Cdk9"
"Necap1",5.40629643337566e-09,-0.172023770619488,0.175,0.117,9.05824967412092e-05,"Mono/Mac 1","Necap1"
"Ngdn",5.42527357221341e-09,0.130763998054089,0.286,0.117,9.09004587024358e-05,"Mono/Mac 1","Ngdn"
"Dgkh",5.44226291028586e-09,-0.118318613524478,0.061,0.018,9.11851150618396e-05,"Mono/Mac 1","Dgkh"
"Noct",5.45952011742342e-09,0.117908112211987,0.098,0.012,9.14742595674294e-05,"Mono/Mac 1","Noct"
"Arl8a",5.46819304682558e-09,-0.106018463524423,0.343,0.216,9.16195744995625e-05,"Mono/Mac 1","Arl8a"
"Nfic",5.51329011770779e-09,-0.00506790314738292,0.425,0.246,9.23751759221941e-05,"Mono/Mac 1","Nfic"
"Fndc3b",5.51456676193361e-09,0.00432067057339081,0.265,0.105,9.23965660961976e-05,"Mono/Mac 1","Fndc3b"
"Pou2f1",5.61553921888179e-09,-0.190760690264687,0.058,0.041,9.40883596123644e-05,"Mono/Mac 1","Pou2f1"
"Gigyf2",5.63915338586950e-09,-0.499607818656587,0.151,0.129,9.44840149802434e-05,"Mono/Mac 1","Gigyf2"
"Cks2",5.71154206696901e-09,-0.501152262367146,0.161,0.123,9.56968873320657e-05,"Mono/Mac 1","Cks2"
"Prxl2c",5.77958346141353e-09,-0.163873320549221,0.255,0.146,9.68369208959838e-05,"Mono/Mac 1","Prxl2c"
"Wipi2",5.79009615543136e-09,-0.186516153253713,0.134,0.07,9.70130610842525e-05,"Mono/Mac 1","Wipi2"
"Fam162a",5.80213501325827e-09,0.515392003113207,0.444,0.199,9.72147721471422e-05,"Mono/Mac 1","Fam162a"
"Ntan1",5.81117597170527e-09,-0.0540846473933663,0.326,0.17,9.73662534059219e-05,"Mono/Mac 1","Ntan1"
"Aars",5.84060290615041e-09,-0.33481958278413,0.155,0.129,9.78593016925501e-05,"Mono/Mac 1","Aars"
"Ccdc34",5.84309799875174e-09,-0.782253189622709,0.045,0.117,9.79011069690854e-05,"Mono/Mac 1","Ccdc34"
"Ppa2",5.85646460702703e-09,0.0762904242053125,0.118,0.018,9.81250644907378e-05,"Mono/Mac 1","Ppa2"
"Ccni",5.90756086663598e-09,-0.059876452396607,0.322,0.164,9.89811823204858e-05,"Mono/Mac 1","Ccni"
"Rsl24d1",5.91564217644764e-09,-0.181692336919183,0.239,0.14,9.91165846663801e-05,"Mono/Mac 1","Rsl24d1"
"Degs1",5.93897903148116e-09,-0.301997945545345,0.323,0.222,9.95075936724669e-05,"Mono/Mac 1","Degs1"
"Utp11",5.99630398123391e-09,-0.203219079011201,0.318,0.234,0.000100468073205574,"Mono/Mac 1","Utp11"
"Ncf1",6.01928095721225e-09,0.0996627514971782,0.578,0.357,0.000100853052438091,"Mono/Mac 1","Ncf1"
"Mrpl21",6.08679106150684e-09,-0.225482710058724,0.392,0.257,0.000101984184235547,"Mono/Mac 1","Mrpl21"
"Rest",6.09693090880107e-09,-0.033197377658691,0.341,0.17,0.000102154077376962,"Mono/Mac 1","Rest"
"Kcmf1",6.11643194491818e-09,0.140563228459887,0.355,0.158,0.000102480817237104,"Mono/Mac 1","Kcmf1"
"Wdr83os",6.15894500771439e-09,-0.125124696512225,0.486,0.304,0.000103193123604255,"Mono/Mac 1","Wdr83os"
"Mrpl40",6.1702792486881e-09,-0.381070104551379,0.208,0.181,0.000103383028811769,"Mono/Mac 1","Mrpl40"
"Rnf8",6.19320227824395e-09,-0.213887913838091,0.099,0.07,0.000103767104171977,"Mono/Mac 1","Rnf8"
"R3hdm4",6.19365747491982e-09,0.0503835282547813,0.297,0.14,0.000103774730992282,"Mono/Mac 1","R3hdm4"
"Fmnl1",6.23903337351246e-09,0.0374825339456389,0.464,0.257,0.000104535004173201,"Mono/Mac 1","Fmnl1"
"Dennd4a",6.24560204022913e-09,-0.00788960701795061,0.191,0.076,0.000104645062184039,"Mono/Mac 1","Dennd4a"
"Cdc40",6.28349142718341e-09,0.0975445897674434,0.361,0.164,0.000105279898862458,"Mono/Mac 1","Cdc40"
"Fcgr4",6.29147864774829e-09,-0.43336080295005,0.556,0.468,0.000105413724743023,"Mono/Mac 1","Fcgr4"
"Atp6v0a2",6.33484368182128e-09,-0.398965377115204,0.149,0.175,0.000106140305888916,"Mono/Mac 1","Atp6v0a2"
"Snrnp200",6.33937190867709e-09,-0.315442046056397,0.237,0.193,0.000106216176329885,"Mono/Mac 1","Snrnp200"
"Btk",6.41707825354165e-09,-0.118821897315654,0.242,0.152,0.00010751814613809,"Mono/Mac 1","Btk"
"Pcyt1a",6.44429622922556e-09,-0.0237428515257331,0.244,0.117,0.000107974183320674,"Mono/Mac 1","Pcyt1a"
"Birc3",6.48403020864399e-09,0.265884079089168,0.33,0.123,0.00010863992614583,"Mono/Mac 1","Birc3"
"Ep300",6.5025992132957e-09,-0.0425192314049896,0.38,0.211,0.00010895104981877,"Mono/Mac 1","Ep300"
"Atpaf2",6.55203827849108e-09,-0.259907242435641,0.066,0.064,0.000109779401356118,"Mono/Mac 1","Atpaf2"
"Bcl7c",6.56553268285605e-09,0.118608496121352,0.275,0.105,0.000110005500101253,"Mono/Mac 1","Bcl7c"
"Galnt2",6.64808750884921e-09,-0.425685063381422,0.149,0.117,0.000111388706210769,"Mono/Mac 1","Galnt2"
"Acat1",6.6780261866854e-09,-0.189307161873891,0.206,0.135,0.000111890328757914,"Mono/Mac 1","Acat1"
"Triap1",6.75947071031031e-09,-0.434223540200226,0.273,0.211,0.000113254931751249,"Mono/Mac 1","Triap1"
"Bcl7b",6.78335377359149e-09,-0.0838882231899237,0.286,0.146,0.000113655092476525,"Mono/Mac 1","Bcl7b"
"Lrrc8c",6.83705178821163e-09,-0.101413571552564,0.157,0.058,0.000114554802711486,"Mono/Mac 1","Lrrc8c"
"Ifi211",6.83966167145094e-09,0.277946227241668,0.612,0.368,0.000114598531305161,"Mono/Mac 1","Ifi211"
"Gba",6.85285977798951e-09,-0.0701537096565659,0.273,0.158,0.000114819665580214,"Mono/Mac 1","Gba"
"Bcl3",6.86806945278459e-09,0.362933662632748,0.296,0.088,0.000115074503681406,"Mono/Mac 1","Bcl3"
"Mapkapk3",6.92086823784892e-09,0.0896406002518279,0.271,0.111,0.000115959147325159,"Mono/Mac 1","Mapkapk3"
"Utp3",6.98925915193723e-09,-0.195370372153452,0.391,0.269,0.000117105037090708,"Mono/Mac 1","Utp3"
"Pla2g7",7.01046037052963e-09,0.0956482014699698,0.802,0.591,0.000117460263508224,"Mono/Mac 1","Pla2g7"
"Usp25",7.05040181816815e-09,-0.123962859284327,0.441,0.275,0.000118129482463407,"Mono/Mac 1","Usp25"
