"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mzt1",0.943218610366699,-0.0367607089150981,0.1,0.092,1
"Fam129c",0.724270952572747,-0.0367661318779143,0,0.015,1
"Naip5",0.777300225215447,-0.036778952120161,0,0.011,1
"Uhrf1",0.724270952572785,-0.0367792161186534,0,0.015,1
"Gmfg",0.932619399261238,-0.0368335923761469,0.8,0.832,1
"Hmcn2",0.777300225215505,-0.0368943796917639,0,0.011,1
"Nepro",0.777300225215437,-0.0369555230865808,0,0.011,1
"Usp30",0.7242709525728,-0.036961498739667,0,0.015,1
"Hdac10",0.724270952572739,-0.0370135021872342,0,0.015,1
"Gm16867",0.777300225215457,-0.0370186697367161,0,0.011,1
"Zdhhc2",0.58539015205671,-0.0370274251561179,0.1,0.053,1
"9530077C05Rik",0.777300225215409,-0.0370373785079367,0,0.011,1
"Nfu1",0.943387858167688,-0.0370536427595456,0.2,0.195,1
"Fbxo32",0.4273077017444,-0.037092906681688,0.1,0.061,1
"Kit",0.777300225215457,-0.0371056692292127,0,0.011,1
"Ret",0.777300225215563,-0.0371283669591163,0,0.011,1
"Myl10",0.77730022521538,-0.0371382293213306,0,0.011,1
"BC106179",0.777300225215524,-0.0371667471011641,0,0.011,1
"Olfm1",0.777300225215553,-0.0371683978630313,0,0.011,1
"Mmab",0.7242709525728,-0.0371956346462478,0,0.015,1
"Rae1",0.95854313691999,-0.0372249621506995,0.2,0.206,1
"Tktl1",0.777300225215543,-0.0372413563092629,0,0.011,1
"Pex12",0.777300225215505,-0.0372733119160302,0,0.011,1
"Gm31793",0.777300225215418,-0.0372916078437136,0,0.011,1
"Fam72a",0.83817343906489,-0.0372929779237116,0,0.008,1
"Vps41",0.845654302928115,-0.0373079887935402,0.1,0.076,1
"Taf6l",0.724270952572702,-0.0373288199879433,0,0.015,1
"Eps8",0.777300225215514,-0.0373457662603989,0,0.011,1
"Cxcr2",0.838173439065108,-0.0373620739762334,0,0.008,1
"Ercc3",0.649378481210097,-0.0373791144573078,0.1,0.073,1
"Map10",0.777300225215428,-0.0373954664479706,0,0.011,1
"Spaca1",0.838173439065122,-0.0374013807718882,0,0.008,1
"Prdm16",0.777300225215447,-0.0374110340996563,0,0.011,1
"Mcph1",0.777300225215428,-0.0374138964937135,0,0.011,1
"Clip2",0.838173439065135,-0.0374256647338248,0,0.008,1
"Rasgrf2",0.838173439065033,-0.0374528640524835,0,0.008,1
"Klrb1a",0.838173439065189,-0.0374766823954409,0,0.008,1
"6030443J06Rik",0.777300225215457,-0.0374972090369147,0,0.011,1
"Zfp867",0.838173439065122,-0.0375202069770636,0,0.008,1
"Swsap1",0.777300225215418,-0.0375246688661609,0,0.011,1
"Mgarp",0.72427095257277,-0.0375358397703745,0,0.015,1
"Tanc2",0.777300225215485,-0.0375550973516926,0,0.011,1
